event,trial,start_s,end_s,duration_s
tone,1,90.000000,100.000000,10.000000
tone,2,200.000000,210.000000,10.000000
tone,3,310.000000,320.000000,10.000000
tone,4,420.000000,430.000000,10.000000
tone,5,530.000000,540.000000,10.000000
tone,6,640.000000,650.000000,10.000000
tone,7,750.000000,760.000000,10.000000
tone,8,860.000000,870.000000,10.000000
tone,9,970.000000,980.000000,10.000000
tone,10,1080.000000,1090.000000,10.000000
tone,11,1190.000000,1200.000000,10.000000
tone,12,1300.000000,1310.000000,10.000000
tone,13,1410.000000,1420.000000,10.000000
tone,14,1520.000000,1530.000000,10.000000
tone,15,1630.000000,1640.000000,10.000000
tone,16,1740.000000,1750.000000,10.000000
